"sample_SRR5343917" "sample_SRR5343918" "sample_SRR5343919" "sample_SRR5343920" "sample_SRR5343921" "sample_SRR5343922" "sample_SRR5343923" "sample_SRR5343924" "sample_SRR5343925" "sample_SRR5343926"
"ENSG00000008513" 1585 1551 1948 5666 6945 9279 2832 2946 3293 4050
"ENSG00000008516" 7 57 64 93 108 19 56 47 182 61
"ENSG00000008517" 78 1295 767 2438 536 211 831 203 1684 2150
"ENSG00000008710" 6708 9023 1872 2698 7103 5891 8888 6696 4897 6147
"ENSG00000008735" 4 13 578 481 1919 2899 102 33 517 608
"ENSG00000008838" 5014 5797 2012 3112 4303 7440 3641 2399 2071 3791
"ENSG00000008853" 3837 3576 1238 2087 1513 1689 3000 3172 1964 2303
"ENSG00000008869" 2579 2355 1343 1870 2011 2272 3982 3198 1930 1887
"ENSG00000008952" 9263 12373 8043 10015 14874 15040 8298 6274 6505 5244
"ENSG00000008988" 47170 34802 43605 34977 49001 66809 25615 27323 48891 47759
"ENSG00000009307" 45868 46368 24341 29094 28613 30406 31961 34889 23178 24645
"ENSG00000009335" 5964 5959 7163 7442 8014 7352 17681 19980 8345 10993
"ENSG00000009413" 3354 3898 730 978 2119 3848 1828 1013 1218 1335
"ENSG00000009694" 19 132 21 20 358 97 226 57 56 53
"ENSG00000009709" 0 0 24 27 3 13 0 0 3 1
"ENSG00000009724" 2 115 8 22 35 20 107 64 25 5
"ENSG00000009765" 0 0 0 0 0 0 0 1 0 0
"ENSG00000009780" 833 1212 1605 1520 571 560 707 811 699 572
"ENSG00000009790" 338 166 300 662 64 68 203 69 430 153
"ENSG00000009830" 4406 6006 1706 2544 1856 1311 1555 1216 922 1255
"ENSG00000009844" 3465 3067 1182 1101 3382 3828 2437 2147 2034 1857
"ENSG00000009950" 1 1 49 209 34 42 154 309 20 126
"ENSG00000009954" 7056 7334 4698 7493 22189 17376 14757 18391 7304 8944
"ENSG00000010017" 7830 7246 3047 2900 3254 3404 3651 2755 4317 3481
"ENSG00000010030" 9 72 143 323 56 68 69 20 405 185
"ENSG00000010072" 1555 1576 1243 695 1427 1790 1132 1363 553 540
