"sample_SRR5343917" "sample_SRR5343918" "sample_SRR5343919" "sample_SRR5343920" "sample_SRR5343921" "sample_SRR5343922" "sample_SRR5343923" "sample_SRR5343924" "sample_SRR5343925" "sample_SRR5343926"
"ENSG00000186487" 1295 1582 389 622 7 0 3 2 0 4
"ENSG00000186493" 170 386 10 8 192 341 79 15 35 186
"ENSG00000186496" 250 269 183 194 214 357 150 222 126 70
"ENSG00000186501" 2593 3526 2509 3806 2383 3107 2861 1960 1436 2538
"ENSG00000186508" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186509" 0 0 3 0 1 0 0 0 1 1
"ENSG00000186510" 0 0 10 6 20 33 7 2 46 10
"ENSG00000186513" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186517" 262 514 1262 2825 971 896 1867 792 2906 2631
"ENSG00000186522" 4947 4014 2671 1599 7104 7531 7662 4748 5366 4422
"ENSG00000186523" 52 32 26 39 93 104 45 35 106 33
"ENSG00000186526" 0 0 0 1 0 0 0 0 0 0
"ENSG00000186529" 0 0 23 12 63 1 6 2 97 1
"ENSG00000186532" 1298 1249 557 614 1069 1442 769 744 743 891
"ENSG00000186543" 0 1 0 0 4 8 0 0 0 1
"ENSG00000186562" 0 0 1 0 0 0 0 0 0 0
"ENSG00000186564" 334 638 46 83 607 901 351 351 193 224
"ENSG00000186566" 6309 5762 1368 2362 5969 6422 3708 2799 1526 2015
"ENSG00000186567" 74 260 33 62 94 89 42 6 164 96
"ENSG00000186572" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186575" 2160 2545 1417 2412 4299 6268 1518 1493 1464 2228
"ENSG00000186577" 3987 7527 2709 3556 1467 2381 1482 1011 2400 2346
"ENSG00000186579" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186583" 0 7 20 16 32 19 23 8 11 4
"ENSG00000186591" 7427 6398 7330 10981 12869 13748 19730 21326 8571 8959
"ENSG00000186594" 592 1442 1102 1473 1395 724 1332 532 1295 1045
"ENSG00000186599" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186603" 76 77 4125 2212 478 1090 170 271 422 323
"ENSG00000186615" 236 198 78 54 314 366 258 168 47 59
"ENSG00000186625" 921 807 506 536 1082 1170 711 651 633 746
"ENSG00000186628" 2 5 4 15 1 3 4 2 1 2
"ENSG00000186635" 6344 8335 2552 4938 5799 7773 6856 3545 6741 11569
"ENSG00000186638" 404 271 204 284 480 426 419 419 441 450
"ENSG00000186642" 123 133 106 455 654 338 755 197 492 2053
"ENSG00000186645" 1 1 0 1 1 0 1 0 1 1
"ENSG00000186648" 57 125 370 442 97 84 63 27 91 60
"ENSG00000186652" 0 16 3 0 3 2 5 7 2 1
"ENSG00000186654" 362 245 1165 1033 2007 3883 745 137 795 1162
"ENSG00000186660" 6022 7743 2427 2499 5878 5144 6772 4063 3348 3233
"ENSG00000186665" 715 949 563 450 933 1766 710 526 701 540
"ENSG00000186666" 205 218 240 221 254 322 119 178 170 219
"ENSG00000186675" 7 2 2 2 0 0 4 0 1 3
"ENSG00000186676" 0 2 4 1 1 0 0 1 4 1
"ENSG00000186678" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186684" 871 670 17 13 3448 3417 159 36 67 54
"ENSG00000186687" 862 1324 2000 1082 1438 1846 746 1045 1758 785
"ENSG00000186704" 21 28 25 43 97 59 56 36 26 34
"ENSG00000186710" 0 6 11 7 55 14 3 7 14 11
"ENSG00000186714" 1 1 11 14 4 6 3 2 8 0
"ENSG00000186715" 6 53 176 337 194 202 20 14 62 25
"ENSG00000186716" 1630 1426 1511 2078 11028 15650 3157 839 1644 3715
"ENSG00000186723" 0 0 1 0 0 0 0 0 0 0
"ENSG00000186732" 5 0 7 1 2 17 0 1 4 9
"ENSG00000186743" 0 4 2 2 3 3 5 0 1 4
"ENSG00000186765" 13 8 13 13 55 18 54 54 14 19
"ENSG00000186766" 1 10 3 6 19 2 10 3 2 16
"ENSG00000186767" 279 173 439 118 191 413 344 267 242 460
"ENSG00000186777" 48 54 2 6 147 84 16 5 15 13
"ENSG00000186787" 298 328 152 147 88 142 77 182 119 197
"ENSG00000186788" 0 0 0 0 2 0 79 121 1 0
"ENSG00000186790" 1 1 2 2 10 54 2 1 0 0
"ENSG00000186792" 94 145 199 292 1113 950 602 414 111 183
"ENSG00000186795" 0 0 0 0 0 0 1 1 0 0
"ENSG00000186803" 0 0 0 0 0 1 0 0 0 0
"ENSG00000186806" 98 123 63 133 455 287 465 209 207 170
"ENSG00000186810" 9 101 117 406 12 16 72 15 125 115
"ENSG00000186812" 1430 2612 1009 1128 2025 2289 1105 1624 614 414
"ENSG00000186814" 1199 2336 667 909 2543 1703 1378 1696 681 538
"ENSG00000186815" 3409 4176 2060 3850 4766 6143 6572 7382 2820 3617
"ENSG00000186818" 219 648 990 4342 609 1188 1741 394 2298 1363
"ENSG00000186825" 0 0 1 2 2 0 0 0 0 3
"ENSG00000186827" 56 177 136 392 4595 6197 3198 5454 381 596
"ENSG00000186831" 0 1 0 3 0 0 1 8 3 4
"ENSG00000186832" 0 2 0 11 3 8 15 69 19 142
"ENSG00000186834" 5162 7168 1400 2490 4464 3973 2875 3433 2756 2625
"ENSG00000186838" 0 0 0 0 1 41 0 0 5 1
"ENSG00000186842" 3 17 3 2 2 0 0 0 2 0
"ENSG00000186844" 0 1 1 0 0 0 2 0 0 0
"ENSG00000186847" 91 6 2 41 15 4 10 87 82 2245
"ENSG00000186854" 13 25 389 449 731 785 654 386 1394 1013
"ENSG00000186860" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186862" 246 443 127 175 365 398 337 484 279 238
"ENSG00000186866" 3956 4800 2525 3172 6390 5282 2956 2483 2122 2130
"ENSG00000186867" 3 3 1 1 531 524 0 0 46 55
"ENSG00000186868" 1211 1715 110 216 123 168 48 8 76 78
"ENSG00000186871" 377 180 261 134 521 471 463 426 551 483
"ENSG00000186881" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186886" 1 0 0 0 0 0 0 0 0 0
"ENSG00000186889" 370 362 480 336 728 1443 1245 631 192 194
"ENSG00000186891" 2 68 100 178 24 22 114 1353 194 85
"ENSG00000186895" 0 0 0 0 0 0 1 0 0 0
"ENSG00000186897" 418 59 148 94 7 57 46 78 153 256
"ENSG00000186907" 806 1179 42 113 841 991 245 183 107 391
"ENSG00000186908" 1265 1957 1644 1396 1944 1842 2042 2254 2535 1149
"ENSG00000186910" 0 0 0 0 4 1 0 0 0 1
"ENSG00000186912" 0 8 0 2 10 2 6 1 0 2
"ENSG00000186918" 3350 2453 1123 1431 2682 1280 716 1112 1472 1329
"ENSG00000186919" 2 2 6 11 13 10 12 6 0 3
"ENSG00000186924" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186925" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186930" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186940" 62 60 11 8 231 213 77 74 91 124
"ENSG00000186943" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186951" 3170 2890 1126 1716 5189 4259 2571 2425 1319 1429
"ENSG00000186952" 20 33 92 70 62 101 5 21 29 9
"ENSG00000186960" 0 0 7 2 1 1 0 0 1 0
"ENSG00000186965" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186967" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186970" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186971" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186973" 2 0 3 0 0 5 0 1 0 3
"ENSG00000186976" 5 5 85 61 324 306 22 17 40 18
"ENSG00000186977" 0 0 0 1 2 2 2 1 2 0
"ENSG00000186980" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186994" 66 88 113 307 238 140 1282 834 314 1157
"ENSG00000186998" 16 12 40 94 2944 7776 142 32 232 490
"ENSG00000187003" 0 1 0 0 0 0 0 0 0 0
"ENSG00000187005" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187010" 13 42 6 32 61 247 24 18 95 23
"ENSG00000187012" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187013" 2 1 5 10 92 254 46 15 54 106
"ENSG00000187017" 0 0 0 4 2420 1858 46 40 70 62
"ENSG00000187021" 0 0 0 0 1 0 0 0 1 0
"ENSG00000187024" 23 32 7 15 24 27 28 43 28 33
"ENSG00000187026" 0 3 0 0 0 0 0 22 2 0
"ENSG00000187033" 0 0 1 0 0 0 0 0 1 0
"ENSG00000187037" 66 67 74 124 11 18 55 20 113 50
"ENSG00000187045" 0 3 9 9 52 29 15 5 8 5
"ENSG00000187048" 0 0 0 1 0 0 0 2 0 4
"ENSG00000187049" 256 263 546 593 738 925 563 424 333 561
"ENSG00000187051" 4671 5281 4264 4029 6982 10651 3154 4021 4320 5358
"ENSG00000187054" 0 0 1 3 0 0 0 0 1 0
"ENSG00000187066" 7 53 72 73 47 30 44 25 49 19
"ENSG00000187068" 289 227 437 570 1925 1604 1151 640 790 1087
"ENSG00000187079" 7062 6866 5406 5630 18898 16446 7808 5886 5007 4575
"ENSG00000187080" 2 1 0 0 0 1 3 1 0 0
"ENSG00000187082" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187091" 1093 1126 181 344 1538 2002 443 291 471 623
"ENSG00000187094" 4 0 8 4 0 0 0 0 0 0
"ENSG00000187097" 1375 1252 534 858 1340 1328 1697 1712 570 662
"ENSG00000187098" 16796 18160 27119 21626 2731 18403 2057 2792 18434 9626
"ENSG00000187103" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187105" 9 25 36 45 54 61 70 57 18 11
"ENSG00000187109" 40924 27635 35294 30382 23594 25172 17166 28025 35943 28669
"ENSG00000187116" 15 24 257 337 131 95 92 36 361 177
"ENSG00000187118" 1473 1599 1680 834 1277 2078 700 724 1176 1000
"ENSG00000187122" 20 61 21 20 23 71 23 15 349 83
"ENSG00000187123" 45 3 228 184 349 1271 40 174 644 414
"ENSG00000187134" 13 67 89 187 410 220 314 37 23 168
"ENSG00000187135" 23 45 1 0 0 0 10 50 2 0
"ENSG00000187140" 1258 1806 354 738 2434 2423 2992 2569 306 258
"ENSG00000187144" 1 0 0 0 0 1 1 2 0 0
"ENSG00000187147" 4079 4263 3058 3827 3076 4458 3639 3746 2707 3416
"ENSG00000187151" 0 0 5 1 5 2 1 1 1 3
"ENSG00000187164" 4839 11192 9194 11659 5318 5330 4239 4445 10264 3627
"ENSG00000187166" 0 1 0 2 0 1 3 0 2 0
"ENSG00000187170" 0 0 9 4 0 0 0 0 2 0
"ENSG00000187172" 1188 1608 91 58 2 3 6 3 3 0
"ENSG00000187173" 44 67 217 285 0 0 0 2 37 22
"ENSG00000187175" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187180" 0 0 0 1 0 0 0 0 0 0
"ENSG00000187185" 0 2 3 0 1 0 1 3 0 0
"ENSG00000187186" 25 23 22 22 60 32 29 23 34 42
"ENSG00000187187" 194 524 241 219 406 365 124 126 242 102
"ENSG00000187189" 875 1551 1137 1375 1922 2009 1497 1547 815 1153
"ENSG00000187191" 16 29 2 0 0 0 0 0 0 0
"ENSG00000187193" 304 273 149 443 912 243 290 304 413 416
"ENSG00000187210" 30 73 317 653 484 610 995 639 803 512
"ENSG00000187223" 0 0 0 0 0 0 0 1 1 0
"ENSG00000187229" 6 2 8 2 0 0 0 0 1 0
"ENSG00000187231" 3723 5296 975 1106 3623 3957 1156 383 2016 1739
"ENSG00000187238" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187239" 2097 2184 1532 3796 1645 2816 2092 755 2815 2766
"ENSG00000187240" 736 1430 871 860 3463 3426 1935 2139 1348 1012
"ENSG00000187242" 19 7 92 93 24 60 11 15 36 13
"ENSG00000187243" 0 0 80 112 82 59 34 13 32 52
"ENSG00000187244" 655 417 405 2254 2853 3707 2280 834 874 4839
"ENSG00000187257" 963 1010 2649 1849 3160 2841 3251 3503 1694 1207
"ENSG00000187258" 0 0 1 0 2 0 0 0 1 0
"ENSG00000187260" 16 46 23 56 363 368 318 47 82 104
"ENSG00000187266" 1032 1477 1076 1333 628 941 893 1248 954 564
"ENSG00000187268" 2 1 3 5 1 0 5 0 3 1
"ENSG00000187272" 0 0 0 1 0 0 0 0 0 1
"ENSG00000187288" 3 3 6 39 155 68 208 3 0 276
"ENSG00000187323" 4 3 16 10 11 136 7 26 5 7
"ENSG00000187325" 1551 1623 710 667 1733 1308 949 683 1262 1116
"ENSG00000187372" 560 1284 219 222 110 55 197 208 89 211
"ENSG00000187391" 321 363 919 1107 1380 1591 395 275 464 329
"ENSG00000187398" 0 0 3 3 897 1436 0 1 1 4
"ENSG00000187416" 4 79 871 1435 57 830 16 23 2460 415
"ENSG00000187446" 22059 14168 4508 6690 3622 5213 4067 5466 3421 4920
"ENSG00000187472" 1 0 2 0 0 0 1 1 0 1
"ENSG00000187474" 592 531 1508 3121 805 1282 3112 972 3671 2070
"ENSG00000187475" 2 0 0 1 2 0 2 3 3 0
"ENSG00000187479" 6472 5069 901 1619 1291 1623 1696 828 584 1885
"ENSG00000187481" 0 0 14 31 0 0 0 0 1 0
"ENSG00000187483" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187486" 4 16 4 50 82 126 43 38 9 12
"ENSG00000187492" 21 40 5 8 12 1 14 8 0 0
"ENSG00000187498" 38166 70970 8022 37079 115978 51567 55736 18404 81327 207384
"ENSG00000187504" 1 0 1 0 1 0 1 0 0 1
"ENSG00000187510" 0 2 11 10 1 1 2 4 3 1
"ENSG00000187513" 505 365 399 1743 489 207 1065 310 1106 5864
"ENSG00000187514" 51135 46623 34513 35723 102218 90271 44563 40661 51564 77522
"ENSG00000187516" 0 0 0 0 12 10 0 0 18 1
"ENSG00000187522" 1551 1501 1682 1052 1339 1437 1676 1876 2174 1574
"ENSG00000187527" 0 0 8 5 2 1 1 0 10 7
"ENSG00000187531" 1206 1915 944 1488 1318 1630 1267 947 1319 1192
"ENSG00000187533" 0 0 1 0 2 0 0 0 0 0
"ENSG00000187534" 145 110 36 90 122 95 68 36 95 72
"ENSG00000187535" 2214 2514 475 781 2422 3656 605 1013 587 741
"ENSG00000187536" 0 0 1 1 0 0 1 0 0 0
"ENSG00000187537" 2 35 2 0 0 0 0 0 0 0
"ENSG00000187545" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187546" 3 2 6 16 1847 79 3522 2596 14 57
"ENSG00000187550" 0 1 2 0 0 0 0 0 0 3
"ENSG00000187553" 0 0 4 2 2 1 8 2 33 11
"ENSG00000187554" 332 195 226 345 74 137 317 105 289 274
"ENSG00000187555" 11733 11290 2848 4609 8665 7594 3759 4413 4721 6167
"ENSG00000187556" 0 10 6 5 22 31 31 45 4 11
"ENSG00000187559" 1 0 0 3 2 1 0 1 2 1
"ENSG00000187566" 6 6 303 325 58 175 161 133 211 170
"ENSG00000187569" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187581" 0 0 8 1 1 2 4 8 0 0
"ENSG00000187583" 3 16 14 39 627 639 613 121 87 63
"ENSG00000187589" 4 3 1 0 4 3 3 1 2 1
"ENSG00000187595" 33 35 18 33 82 45 8 5 18 9
"ENSG00000187600" 0 0 0 0 0 0 1 0 0 0
"ENSG00000187601" 2009 2330 1668 1739 1137 499 905 1137 1318 2207
"ENSG00000187605" 3831 3273 441 793 3794 2897 3218 2349 1616 1546
"ENSG00000187607" 283 471 293 316 560 849 161 173 314 264
"ENSG00000187608" 95 234 1595 1648 2776 2773 2583 2116 7227 3146
"ENSG00000187609" 378 545 178 282 465 779 357 214 455 466
"ENSG00000187612" 0 0 0 0 0 0 1 0 0 0
"ENSG00000187616" 0 0 10 8 0 0 0 0 0 1
"ENSG00000187621" 62 497 111 121 62 124 3 27 0 0
"ENSG00000187624" 59 62 125 318 216 330 58 32 80 99
"ENSG00000187626" 1794 1664 390 423 261 340 315 316 344 281
"ENSG00000187627" 2 7 5 3 5 12 7 2 47 9
"ENSG00000187630" 457 459 431 619 428 541 345 205 408 574
"ENSG00000187634" 12 39 28 35 572 1542 237 66 46 284
"ENSG00000187642" 42 15 7 14 156 151 135 33 36 16
"ENSG00000187650" 134 190 205 232 1781 2872 426 294 256 169
"ENSG00000187653" 176 303 978 1948 607 367 1280 262 2355 2318
"ENSG00000187657" 54 7 0 0 1 0 0 0 0 0
"ENSG00000187658" 0 0 0 0 2 3 1 0 0 0
"ENSG00000187664" 0 0 0 0 1 0 0 0 0 0
"ENSG00000187672" 16 12 88 92 7 4 3 0 6 8
"ENSG00000187676" 4527 2533 1214 966 858 1196 1214 1333 3628 3470
"ENSG00000187678" 6397 5109 1283 4199 37357 46057 26429 25942 6392 6777
"ENSG00000187682" 0 2 2 8 9 0 1 2 2 1
"ENSG00000187686" 7 16 1 1 49 51 13 8 1 0
"ENSG00000187688" 9754 17562 6752 5793 1357 4634 3728 3762 6387 5246
"ENSG00000187689" 0 0 0 0 1 0 0 1 1 0
"ENSG00000187690" 66 66 0 2 2 0 0 0 7 2
"ENSG00000187695" 4 9 7 14 16 19 4 3 7 3
"ENSG00000187699" 30 206 812 744 558 1417 87 110 557 319
"ENSG00000187701" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187713" 1633 1939 2090 2088 1880 3407 1317 968 1802 2095
"ENSG00000187714" 0 0 2 0 0 0 0 0 0 0
"ENSG00000187715" 1 0 10 45 4 1 0 0 0 1
"ENSG00000187720" 45 23 91 131 466 514 135 88 102 432
"ENSG00000187721" 0 22 0 0 10 10 0 0 0 0
"ENSG00000187726" 0 2 2 6 5 6 8 10 5 0
"ENSG00000187730" 131 175 38 141 81 92 89 68 143 336
"ENSG00000187733" 0 0 1 5 0 0 0 0 2 0
"ENSG00000187735" 10255 7803 3246 2703 10906 12442 6384 6317 7134 4196
"ENSG00000187736" 9 45 6 4 34 18 9 12 8 4
"ENSG00000187741" 518 462 620 666 1079 1202 1202 852 821 984
"ENSG00000187742" 1748 1749 3127 3465 2686 3611 2518 2052 1885 2026
"ENSG00000187747" 0 0 0 0 0 2 0 0 0 0
"ENSG00000187753" 3 3 1 2 12 3 2 0 6 3
"ENSG00000187754" 0 1 0 0 0 0 0 0 0 0
"ENSG00000187758" 0 1 0 0 0 0 5 2 1 4
"ENSG00000187762" 1 5 4 4 3 1 5 20 2 2
"ENSG00000187763" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187764" 679 1024 703 1983 2053 1910 1840 864 1549 778
"ENSG00000187766" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187772" 0 1 4292 1852 745 666 0 1 3 3
"ENSG00000187773" 437 17 393 190 79 136 18 35 295 338
"ENSG00000187775" 10 69 75 196 166 150 119 61 197 111
"ENSG00000187778" 3508 3882 1826 2469 3514 4272 3409 3500 2671 3992
"ENSG00000187783" 0 1 5 10 1 0 0 0 2 1
"ENSG00000187790" 217 462 329 240 386 446 644 782 329 154
"ENSG00000187791" 1 0 0 2 1 1 2 3 0 0
"ENSG00000187792" 455 753 421 387 1432 1436 352 231 350 428
"ENSG00000187796" 22 104 208 862 1948 3031 1031 634 365 447
"ENSG00000187800" 103 127 154 614 446 94 820 300 712 2036
"ENSG00000187801" 204 203 166 151 414 350 267 196 124 89
"ENSG00000187806" 0 0 0 2 0 0 0 0 1 0
"ENSG00000187808" 12 32 108 203 21 31 74 31 224 156
"ENSG00000187812" 0 0 0 1 0 0 0 0 0 0
"ENSG00000187815" 432 466 454 430 320 344 457 403 441 276
"ENSG00000187821" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187823" 1 0 0 0 0 0 0 0 1 0
"ENSG00000187824" 44 74 336 300 244 733 134 47 422 274
"ENSG00000187833" 6 2 0 0 0 0 1 6 1 0
"ENSG00000187837" 3161 2209 189 499 1741 1991 443 2219 224 292
"ENSG00000187838" 6 13 9 8 21 19 20 9 25 9
"ENSG00000187840" 5071 3996 3819 2629 3991 5383 4762 5434 7914 6789
"ENSG00000187847" 0 0 1 0 0 0 0 0 0 0
"ENSG00000187848" 0 1 1 1 2 0 2 2 25 7
"ENSG00000187855" 0 0 3 1 0 0 1 1 0 6
"ENSG00000187857" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187860" 162 165 266 247 351 572 162 166 90 97
"ENSG00000187862" 1 6 7 65 11 6 877 1604 30 6
"ENSG00000187866" 726 1119 695 817 1316 1779 935 755 1070 1280
"ENSG00000187867" 1 0 9 6 221 253 448 1346 265 416
"ENSG00000187870" 1 0 1 0 0 0 0 0 1 0
"ENSG00000187871" 0 0 2 3 0 0 5 0 0 25
"ENSG00000187889" 1 0 4 1 3 2 0 0 0 1
"ENSG00000187893" 0 0 3 1 1 0 8 2 1 1
"ENSG00000187900" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187902" 1 5 7 24 5 10 63 66 7 1
"ENSG00000187904" 1 2 0 1 1 1 2 1 1 0
"ENSG00000187905" 0 0 7 5 14 21 5 2 2 0
"ENSG00000187908" 4 2 1 21 49 32 55 202 1 0
"ENSG00000187912" 0 1 23 17 5 3 9 6 4 3
"ENSG00000187918" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187922" 1 0 4 9 45 60 6 6 2 8
"ENSG00000187942" 37 17 13 50 41 24 42 12 111 63
"ENSG00000187944" 3 44 11 8 43 65 17 11 64 5
"ENSG00000187950" 6 4 3 2 18 7 2 2 14 7
"ENSG00000187951" 536 470 271 399 463 268 835 961 467 496
"ENSG00000187952" 6 3 2 0 12 8 11 2 3 5
"ENSG00000187953" 267 417 541 786 1106 854 296 352 219 202
"ENSG00000187954" 2324 3608 2596 3838 6119 7667 2613 2096 3624 2533
"ENSG00000187955" 207 456 413 2847 1840 874 10776 3314 777 5984
"ENSG00000187957" 4 13 563 523 895 4894 3 3 584 50
"ENSG00000187959" 1 0 0 0 15 15 0 2 3 3
"ENSG00000187961" 757 2037 341 434 2719 2080 974 518 1060 680
"ENSG00000187969" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187979" 31 7 0 1 17 3 33 24 2 0
"ENSG00000187980" 1 0 6 6 20 8 10 71 3 2
"ENSG00000187984" 7 38 38 57 340 146 28 14 61 37
"ENSG00000187987" 3 4 1 1 2 4 14 7 5 6
"ENSG00000187988" 6 5 1 1 4 3 14 21 2 11
"ENSG00000187994" 83 40 854 546 1395 2445 936 1368 1335 1025
"ENSG00000187997" 0 0 0 6 0 0 2 1 1 0
"ENSG00000187999" 0 1 0 2 3 4 1 0 1 0
"ENSG00000188000" 19 11 1 2 0 1 0 0 104 45
"ENSG00000188001" 21 40 107 145 164 109 175 60 97 77
"ENSG00000188002" 250 300 569 458 485 557 273 77 732 310
"ENSG00000188004" 38 19 153 152 208 220 56 32 82 40
"ENSG00000188010" 780 650 1348 615 700 1113 717 918 1575 1190
"ENSG00000188011" 0 2 6 35 0 0 2 0 13 1
"ENSG00000188013" 26 23 62 58 84 386 37 16 91 145
"ENSG00000188015" 620 934 27 70 474 155 377 377 128 293
"ENSG00000188021" 4543 5977 1948 2231 3008 3120 2023 2408 1626 2322
"ENSG00000188026" 1908 1944 610 1019 1032 1149 679 985 613 942
"ENSG00000188029" 0 0 0 2 0 0 0 0 0 0
"ENSG00000188032" 1 10 5 6 9 8 8 3 1 3
"ENSG00000188033" 183 197 58 63 154 142 42 94 59 39
"ENSG00000188037" 0 1 1 13 23 14 56 743 6 8
"ENSG00000188038" 0 0 0 0 0 0 0 0 0 0
"ENSG00000188039" 16 3 1 0 6 1 0 1 1 3
"ENSG00000188042" 1655 3200 2552 3266 3033 1531 4296 1953 2590 3952
"ENSG00000188050" 0 1 5 4 1 2 2 1 29 8
"ENSG00000188051" 3 11 6 5 13 24 40 12 13 5
"ENSG00000188056" 1 1 3 5 0 1 0 0 1 1
"ENSG00000188060" 84 40 375 294 173 360 540 288 1231 841
"ENSG00000188064" 9 12 1 0 1948 909 1186 63 39 191
"ENSG00000188069" 0 0 0 0 0 0 0 0 0 0
"ENSG00000188070" 3424 3446 1059 1089 2991 3405 2224 2328 1474 2534
"ENSG00000188076" 1 0 0 0 0 0 0 1 0 1
"ENSG00000188078" 3 4 0 0 0 0 3 2 0 0
"ENSG00000188086" 0 0 43 30 13 16 4 0 11 5
"ENSG00000188089" 0 0 2 10 0 3 0 5 1 1
"ENSG00000188092" 400 475 436 318 390 532 220 296 842 494
"ENSG00000188095" 0 3 62 53 23 17 34 2 17 78
"ENSG00000188100" 0 0 0 0 0 0 0 0 0 0
"ENSG00000188101" 0 0 1 0 0 0 0 0 2 0
"ENSG00000188107" 18 27 22 16 111 70 216 262 39 18
"ENSG00000188112" 4 19 13 30 151 89 314 51 59 348
"ENSG00000188120" 47 83 3 1 3 1 0 0 0 0
"ENSG00000188124" 0 2 4 2 15 15 0 0 2 2
"ENSG00000188130" 746 1833 216 373 5773 7335 743 209 991 1428
"ENSG00000188133" 116 7 400 96 0 176 10 3 50 41
"ENSG00000188152" 6 20 11 29 19 3 8 9 27 16
"ENSG00000188153" 15 12 626 747 3778 6899 93 37 500 257
"ENSG00000188155" 0 0 0 0 0 0 0 0 1 0
"ENSG00000188157" 7384 5326 1962 3602 31657 44057 47164 33173 12655 24510
"ENSG00000188158" 22 60 65 164 650 334 404 101 290 285
"ENSG00000188162" 0 0 2 0 3 0 0 0 0 0
"ENSG00000188163" 1 4 10 13 19 12 5 3 3 1
"ENSG00000188167" 325 451 68 93 170 176 209 158 70 56
"ENSG00000188171" 330 457 389 206 581 489 106 40 140 149
"ENSG00000188175" 2 2 5 3 28 13 3 0 0 0
"ENSG00000188176" 2 5 21 337 23 14 23 9 34 86
"ENSG00000188177" 291 86 718 756 1404 489 1809 1181 527 331
"ENSG00000188185" 169 451 470 807 367 447 311 150 483 180
"ENSG00000188186" 1990 2304 9508 6378 5065 8846 4267 4290 5696 6079
"ENSG00000188191" 354 258 757 1041 8544 11087 3697 3168 1190 1655
"ENSG00000188199" 5 3 12 12 5 5 8 3 7 12
"ENSG00000188206" 20 539 353 312 337 178 192 224 1165 173
"ENSG00000188211" 749 500 77 44 1129 1365 687 850 63 59
"ENSG00000188215" 687 1088 287 454 1181 1253 778 973 759 867
"ENSG00000188219" 4 5 6 7 77 28 13 3 2 4
"ENSG00000188223" 0 0 0 0 0 1 1 3 1 1
"ENSG00000188227" 214 623 172 246 62 80 112 23 76 71
"ENSG00000188229" 11369 11708 9658 14325 29138 27925 10712 8067 10052 19401
"ENSG00000188234" 101 281 225 356 159 113 218 163 223 94
"ENSG00000188242" 269 470 954 721 1340 3907 149 84 610 335
"ENSG00000188243" 5541 5605 3764 2588 2038 2995 2133 2003 2145 2920
"ENSG00000188257" 31 20 58 2790 130 150 5174 134 38 871
"ENSG00000188263" 0 1 5 9 2 0 2 2 7 2
"ENSG00000188266" 219 170 105 195 91 195 71 50 74 124
"ENSG00000188269" 72 26 619 541 6 2 5 4 233 38
"ENSG00000188277" 10 83 35 79 38 44 62 61 48 36
"ENSG00000188280" 27 7 6 1 29 4 20 21 0 2
"ENSG00000188282" 2 13 59 161 3 6 137 9 60 7
"ENSG00000188283" 639 1074 745 609 625 713 191 163 831 387
"ENSG00000188290" 19 37 123 169 289 349 273 137 318 659
"ENSG00000188293" 0 0 1 0 0 0 1 0 0 0
"ENSG00000188295" 541 632 269 238 533 584 223 371 320 398
"ENSG00000188305" 4 10 17 45 41 40 90 129 41 51
"ENSG00000188306" 1 1 4 7 187 93 4 14 4 1
"ENSG00000188312" 88 98 209 252 672 805 240 154 395 398
"ENSG00000188313" 1988 2943 12567 5804 1822 3037 2803 2239 5996 3849
"ENSG00000188314" 0 0 0 0 0 0 0 0 0 0
"ENSG00000188315" 451 704 775 1260 603 606 751 802 727 554
"ENSG00000188316" 21 15 19 9 32 74 13 3 26 18
"ENSG00000188321" 903 1283 1337 1084 1136 1125 255 325 798 572
