"","gene_id.anti_PDL_treated_tumor_vs_baseline_tumor","gene_name","base_mean","lfcSE.anti_PDL_treated_tumor_vs_baseline_tumor","pvalue.anti_PDL_treated_tumor_vs_baseline_tumor","adj.P.Val.anti_PDL_treated_tumor_vs_baseline_tumor","gene_id"
"ENSG00000185559","ENSG00000185559",62.7625200834812,0.0259791210853187,0.231256177765412,0.00709954476590592,0.756276096538634,"ENSG00000185559"
"ENSG00000024526","ENSG00000024526",1090.05105118982,-0.0136193185581629,0.10783476966254,0.00746347742568234,0.764415417420178,"ENSG00000024526"
"ENSG00000101670","ENSG00000101670",148.829886957529,0.0220260247963136,0.177217505757865,0.00756222014759768,0.764415417420178,"ENSG00000101670"
"ENSG00000125772","ENSG00000125772",1865.70386444908,-0.00956694472040191,0.0708570462929976,0.00734714731194698,0.764415417420178,"ENSG00000125772"
"ENSG00000155252","ENSG00000155252",3317.21009806615,0.00828669557821302,0.0557011621804244,0.00725506941429063,0.764415417420178,"ENSG00000155252"
"ENSG00000162891","ENSG00000162891",43.8995372330682,-0.0254315051572592,0.225034028772811,0.00744581632938361,0.764415417420178,"ENSG00000162891"
"ENSG00000175899","ENSG00000175899",94904.6444741096,0.00987731701840155,0.0746450559737504,0.00748460417761591,0.764415417420178,"ENSG00000175899"
"ENSG00000188177","ENSG00000188177",761.347520227593,-0.0143891181979641,0.114606468990655,0.00754618473829813,0.764415417420178,"ENSG00000188177"
"ENSG00000198223","ENSG00000198223",656.803564584016,-0.0156266261310254,0.123063694049045,0.00728039229597814,0.764415417420178,"ENSG00000198223"
"ENSG00000260552","ENSG00000260552",115.550746443482,0.0143781777656357,0.114526329520983,0.00754790034343099,0.764415417420178,"ENSG00000260552"
"ENSG00000018236","ENSG00000018236",379.171352521149,-0.0132551255989603,0.106761855152856,0.00784994353283932,0.788797934170978,"ENSG00000018236"
"ENSG00000175662","ENSG00000175662",2745.82916865409,0.00801395025390866,0.0560980754692012,0.00800740844659815,0.800494462861458,"ENSG00000175662"
"ENSG00000172247","ENSG00000172247",137.965795390563,0.0165283504600759,0.135045361827369,0.00806084774741328,0.801725336673849,"ENSG00000172247"
"ENSG00000155719","ENSG00000155719",343.300703083168,-0.021684045152704,0.180396128051323,0.00814385284570243,0.804796834382334,"ENSG00000155719"
"ENSG00000174307","ENSG00000174307",11152.7011345183,0.0109789855371785,0.0882391578855193,0.00817429841016221,0.804796834382334,"ENSG00000174307"
"ENSG00000012171","ENSG00000012171",20253.9635355525,0.0208152325769865,0.173333598622059,0.00825994784649806,0.805097116598166,"ENSG00000012171"
"ENSG00000197852","ENSG00000197852",1224.89665572702,0.00922686097738546,0.0712687939987034,0.00822112754066125,0.805097116598166,"ENSG00000197852"
"ENSG00000224650","ENSG00000224650",38.6427703013266,0.023309782452616,0.212791429725892,0.00839464063458649,0.81415484841109,"ENSG00000224650"
"ENSG00000104998","ENSG00000104998",2334.14064175523,0.00795204882972623,0.0593402447640948,0.00887658754725594,0.818710825101224,"ENSG00000104998"
